NumElements	MemPrediction	RuntimePrediction	ActualRuntime	StandardDeviation
1024	0.0008331890489599999	12.12335730155818	5.6	1.3
2048	0.0008391200979200001	13.21019575244475	4.6	1.3
4096	0.0008509821958400001	15.3838726542179	5	0.7
8192	0.00087470639168	19.73122645776418	6.6	0.9
16384	0.00092215478336	42.04406210836819	10	1.7
32768	0.00101705156672	68.76558666416298	18.4	2.6
65536	0.00120684513344	122.2086357757526	36.2	5.5
131072	0.00158643226688	229.0947339989317	70.40000000000001	11.1
262144	0.00234560653376	442.8669304452901	133.8	20.3
524288	0.00386395506752	870.4113233380067	266.4	44.8
1048576	0.00690065213504	1725.50010912344	517.2	72.8
2097152	0.01297404627008	3435.677680694306	1037.4	171.4
4194304	0.02512083454016	6856.032823836039	2037.8	308.6
8388608	0.04941441108032	13696.74311011951	4138.8	702.6
16777216	0.09800156416064001	27378.16368268643	8288.4	1425.8
33554432	0.19517587032128	54741.0048278203	17007.2	3054.9
67108864	0.38952448264256	109466.687118088	30769	86.8
