NumberOfElements	Complex_Access	Complex_StdDev	Complex_StdErr	Cached_Access	Cached_StdDev	Cached_StdErr	Continuous_Access	Continuous_StdDev	Continuous_StdErr	Constant_Access	Constant_StdDev
131072	342.902	4.15139	0.587095	29.0509	0.173517	0.024539	44.8294	0.96644	0.136675	22.841	0.100424	0.0142021
262144	737.658	6.05789	0.856715	54.4544	0.25553	0.0361375	86.631	1.42009	0.200832	42.224	0.270546	0.0382609
393216	1141	12.6795	1.79315	98.2598	0.255337	0.0361101	147.923	4.28418	0.605875	61.3152	2.72381	0.385204
524288	1585.97	32.9518	4.66008	104.958	0.814752	0.115223	167.723	4.80681	0.679785	80.0634	3.99658	0.565202
655360	2005.98	45.529	6.43877	160.648	0.480655	0.0679749	245.053	1.54984	0.21918	99.1091	5.67794	0.802982
786432	2432.37	45.5911	6.44755	192.05	0.174214	0.0246376	293.07	1.63686	0.231486	117.192	7.10216	1.0044
917504	2858.71	47.9535	6.78165	237.749	0.299113	0.042301	356.352	3.8568	0.545433	136.804	6.502	0.919521
1.04858e+06	3310.1	51.7104	7.31295	206.707	0.713554	0.100912	332.173	3.97014	0.561462	154.92	9.32863	1.31927
1.17965e+06	3714.33	49.5617	7.00908	285.535	0.318097	0.0449857	437.373	0.309295	0.043741	177.516	6.87492	0.972261
1.31072e+06	4158.87	44.8551	6.34347	315.986	0.652936	0.0923391	485.956	2.50454	0.354196	195.343	10.2289	1.44659
1.44179e+06	4598.57	56.7703	8.02854	346.662	0.329776	0.0466373	533.882	2.2152	0.313277	214.582	10.4866	1.48303
1.57286e+06	5038.33	59.5787	8.4257	377.56	0.179022	0.0253175	581.59	2.88905	0.408573	233.025	10.1613	1.43702
1.70394e+06	5466.78	55.035	7.78312	409.152	0.427715	0.060488	630.708	3.46008	0.48933	248.82	16.9971	2.40375
1.83501e+06	5906.98	57.5811	8.1432	472.233	0.27957	0.0395372	704.328	6.79086	0.960372	265.994	16.4575	2.32744
1.96608e+06	6330.06	57.6311	8.15027	471.13	0.458283	0.064811	753.53	16.8613	2.38455	285.051	17.5764	2.48567
2.09715e+06	6780.31	62.3614	8.81923	359.419	0.471428	0.06667	658.357	6.1299	0.866899	303.82	22.0873	3.12362
2.22822e+06	7200.17	60.0759	8.49602	532.93	0.333708	0.0471934	822.173	3.91132	0.553144	328.904	12.14	1.71685
2.3593e+06	7649.89	55.4138	7.83669	564.067	0.592986	0.0838609	869.518	2.96705	0.419605	345.628	22.248	3.14634
2.49037e+06	8073.37	58.1451	8.22296	638.485	0.354677	0.0501589	917.929	4.15292	0.587312	364.493	20.3449	2.87721
2.62144e+06	8514.06	61.7531	8.7332	625.84	0.342414	0.0484247	966.419	5.29044	0.748181	385.052	18.5164	2.61861
