TestNumber	Time	StdDev StdErr
1	45.9097	0.325339	0.0460099
2	56.665	8.56738	0.856738
3	62.7322	3.07481	0.434844
4	63.271	3.12958	0.442589
5	63.1162	3.2949	0.465969
6	62.5357	3.42714	0.484671
7	63.4566	4.59816	0.650279
8	62.9856	2.55395	0.361182
9	65.2518	5.43333	0.768389
10	137.385	36.9404	2.61208
11	146.172	10.6694	1.50888
12	148.314	14.8051	2.09375
13	151.594	21.4358	2.14358
14	147.525	16.0423	2.26872
15	148.052	23.0011	2.30011
16	149.605	21.1334	2.98871
17	46.8013	18.3255	0.916277
18	44.713	5.07259	0.717373
19	56.2841	8.51073	0.851073
20	62.583	3.58495	0.506989
21	65.70489999999999	8.34193	1.17973
22	65.5731	1.69637	0.239903
23	1115.5	68.8473	9.73648
24	922.3440000000001	63.6093	8.99572
25	892.645	7.74943	1.09593
26	137.694	41.8848	2.64903
27	154.948	10.9079	1.54261
28	2010.56	45.6931	6.46198
29	158.873	27.7839	2.77839
30	158.7	28.1597	2.81597
31	157.667	20.8839	2.95343
32	152.493	21.1628	2.99287
33	155.464	21.8408	3.08876
34	155.901	27.103	2.7103
35	211.082	16.8817	2.38743
36	152.437	17.4653	2.46997
37	2423.21	73.9868	10.4633
38	210.007	8.81847	1.24712
39	2002.07	44.4155	6.2813
40	158.833	21.1901	2.11901
41	1918.86	13.3977	1.89472
42	212.154	17.973	2.54176
43	1780.43	13.1431	1.85872
44	188.777	10.3026	1.45701
45	2431.75	82.5087	11.6685
46	180.02	25.0558	3.54343
47	2024.41	49.019	6.93233
48	154.956	26.7496	2.67496
49	3128.11	124.096	17.5499
50	163.72	25.7441	2.57441
51	159.546	12.328	1.74344
52	3258.16	110.01	15.5578
53	2414.57	93.5482	13.2297
54	1965.97	31.708	4.48419
55	154.803	11.241	1.58972
56	1927.86	33.5766	4.74844
57	1963.27	37.739	5.3371
58	1978.54	50.63	7.16016
59	179.718	25.0081	2.50081
60	1975.15	38.5738	5.45516
61	2976.33	91.3915	12.9247
62	200.536	12.5377	1.77309
63	1876.47	12.6025	1.78227
64	1968.21	33.068	4.67652
65	2941.29	96.9159	13.706
66	3031.04	96.3029	13.6193
67	233.973	13.8205	1.95451
