NumElements	ToGpu	ToGpuStdDev	FromGpu FromGpuStdDev
4194304	18936.7	769.725	4169.33	623.421
8388608	47569.2	60.6838	8091.11	179.581
12582912	57045.4	2179.22	9722.59	1913.17
16777216	70394.2	2924.35	11999	2717.01
20971520	92019.5	3725.39	15258.1	3203.09
25165824	111613	4455.08	16067.5	3635.06
29360128	123452	5006.06	18875.7	4123.83
33554432	140234	6760.75	19507	3793.07
37748736	159073	6235.55	21457.9	3899.7
41943040	156787	5622.56	22992.2	3101.72
46137344	177334	6957.19	25046.3	3578.41
50331648	188347	6226.68	27070.4	3453.83
54525952	184312	6167.62	28704.4	2654.14
58720256	216601	6971.91	30236.3	1015.84
62914560	221556	6505.1	32740.6	3043.37
67108864	229798	7032.23	34475.9	1744.78
