NumElements	MemPrediction	RuntimePrediction	ActualRuntime	StandardDeviation
1024	833.1890489599999	9.187692487935138		4.0	1.7
2048	839.12009792	9.623543008012584		4.2	1.6
4096	850.98219584	10.495244048167478		4.2	1.6
8192	874.70639168	12.238646128477265		5.8	2.4
16384	922.15478336	22.052152997539647		8.6	3.6
32768	1017.0515667200001	31.628389999569162		20.4	9.4
65536	1206.8451334400002	50.78086400362818		40.6	14.8
131072	1586.4322668799998	89.08581201174624		74.6	23.7
262144	2345.60653376	165.69570802798236		144.6	46.1
524288	3863.9550675200003	318.9155000604545		281.8	92.9
1048576	6900.65213504	625.355084125399		561.4	192.7
2097152	12974.04627008	1238.2342522552876		1171.2	373.8
4194304	25120.83454016	2463.9925885150656		2300.0	734.9
8388608	49414.41108032	4915.509261034621		4848.8	1720.1
16777216	98001.56416064002	9818.542606073732		9174.2	2837.2
33554432	195175.87032128	19624.609296151953		17940.6	5272.1
67108864	389524.48264256003	39236.74267630839		36346.2	11866.8
