NumOps	Add	AddStdDev	AddStdErr	Sub	SubStdDev	SubStdErr	Mul	MulStdDev	MulStdErr	Div	DivStdDev	DivStdErr
1	224.336	0.157957	0.0223385	224.342	0.161681	0.0228651	224.338	0.155413	0.0219788	224.48	0.0853504	0.0120704
2	224.418	0.164388	0.0232479	224.402	0.167885	0.0237425	224.384	0.163693	0.0231496	224.562	0.0852089	0.0120504
3	224.427	0.154517	0.021852	224.429	0.148869	0.0210532	224.422	0.153928	0.0217687	224.584	0.109636	0.0155049
4	224.445	0.167979	0.0237559	224.456	0.152648	0.0215877	224.482	0.158133	0.0223634	224.587	0.0810996	0.0114692
5	224.602	0.136754	0.01934	224.627	0.148438	0.0209923	224.613	0.131281	0.018566	224.564	0.13255	0.0187454
6	224.704	0.0828915	0.0117226	224.718	0.0958115	0.0135498	224.731	0.0955669	0.0135152	224.582	0.135667	0.0191862
7	224.782	0.0896768	0.0126822	224.753	0.0754592	0.0106715	224.753	0.108295	0.0153153	224.622	0.145454	0.0205703
8	224.816	0.0941421	0.0133137	224.809	0.0926166	0.013098	224.822	0.0809825	0.0114527	224.709	0.141786	0.0200515
9	224.871	0.0935934	0.0132361	224.851	0.0915128	0.0129419	224.853	0.0881562	0.0124672	224.733	0.143707	0.0203233
10	224.835	0.142483	0.0201501	224.802	0.152741	0.0216009	224.791	0.135862	0.0192137	224.747	0.112377	0.0158924
11	224.849	0.139719	0.0197592	224.753	0.0753644	0.0106581	224.742	0.0790528	0.0111798	224.753	0.0786857	0.0111278
12	226.913	0.174347	0.0246564	226.807	0.0863713	0.0122148	226.829	0.0875405	0.0123801	226.822	0.0952345	0.0134682
13	226.956	0.147192	0.0208161	226.827	0.0715283	0.0101156	226.833	0.084805	0.0119932	226.882	0.0909584	0.0128635
14	236.393	0.391557	0.0553745	236.142	0.54475	0.0770392	236.189	0.466128	0.0659205	236.147	0.573293	0.0810758
15	247.049	0.42545	0.0601677	246.824	0.454106	0.0642202	246.904	0.360554	0.05099	246.885	0.542468	0.0767165
16	257.389	0.381695	0.0539798	257.327	0.504604	0.0713618	257.429	0.356355	0.0503962	257.587	0.438213	0.0619727
17	267.778	0.378913	0.0535864	267.744	0.406625	0.0575055	267.867	0.413905	0.058535	267.853	0.522319	0.0738671
18	278.416	0.430502	0.0608821	278.358	0.543464	0.0768575	278.32	0.43955	0.0621617	278.42	0.578952	0.0818762
19	288.847	0.449952	0.0636328	288.845	0.528468	0.0747366	288.827	0.478369	0.0676516	289.011	0.517837	0.0732332
20	299.378	0.410877	0.0581067	299.331	0.425597	0.0601884	299.322	0.323978	0.0458173	299.489	0.479344	0.0677894
21	309.976	0.426064	0.0602545	309.72	0.411655	0.0582168	309.791	0.46147	0.0652617	309.933	0.480299	0.0679245
22	320.382	0.443359	0.0627004	320.233	0.448483	0.0634251	320.309	0.479445	0.0678037	320.604	0.428959	0.060664
23	330.882	0.48681	0.0688453	330.607	0.444574	0.0628723	330.582	0.486356	0.0687812	330.882	0.485692	0.0686872
24	341.313	0.567776	0.0802957	341.049	0.447968	0.0633522	341.216	0.502589	0.0710768	341.538	0.421317	0.0595832
25	351.944	0.471989	0.0667493	351.818	0.485493	0.0686591	351.76	0.496552	0.0702231	351.958	0.493247	0.0697557
26	362.551	0.420116	0.0594134	362.498	0.443416	0.0627085	362.491	0.515386	0.0728866	362.413	0.450668	0.0637341
27	373.013	0.497264	0.0703238	373.007	0.455315	0.0643912	372.98	0.497359	0.0703372	372.902	0.512699	0.0725066
28	383.54	0.491253	0.0694737	383.56	0.466035	0.0659073	383.411	0.537011	0.0759449	383.507	0.462324	0.0653824
29	393.987	0.512821	0.0725238	393.92	0.526842	0.0745067	394.011	0.547286	0.077398	393.995	0.578766	0.0818498
30	404.493	0.548492	0.0775684	404.54	0.610644	0.0863581	404.562	0.470061	0.0664767	404.547	0.539599	0.0763108
31	415.029	0.625962	0.0885245	414.924	0.521297	0.0737225	414.962	0.499688	0.0706665	414.822	0.526394	0.0744433
32	425.531	0.560413	0.0792543	425.416	0.529213	0.074842	425.295	0.534258	0.0755555	425.389	0.552759	0.0781719
33	435.904	0.553073	0.0782163	435.956	0.425921	0.0602344	435.891	0.532859	0.0753577	435.927	0.54971	0.0777407
34	446.629	0.4532	0.0640922	446.427	0.586856	0.082994	446.502	0.501034	0.0708569	446.46	0.457873	0.064753
35	456.922	0.510467	0.072191	456.949	0.519305	0.0734409	456.822	0.417049	0.0589796	456.907	0.427935	0.0605192
36	467.369	0.492951	0.0697138	467.409	0.597014	0.0844305	467.369	0.555079	0.0785	467.327	0.51406	0.0726991
37	477.944	0.519847	0.0735174	478	0.552549	0.0781422	477.942	0.477486	0.0675267	477.851	0.538507	0.0761563
38	488.465	0.628102	0.088827	488.391	0.486758	0.0688379	488.602	0.541587	0.076592	488.407	0.565071	0.0799131
39	498.978	0.500378	0.0707642	498.896	0.599144	0.0847318	499.036	0.60711	0.0858583	498.865	0.626302	0.0885725
40	509.653	0.56513	0.0799215	509.52	0.555979	0.0786273	509.776	0.567238	0.0802195	509.698	0.516806	0.0730874
41	520.387	0.522214	0.0738522	520.242	0.602234	0.0851687	520.198	0.535997	0.0758014	520.158	0.619651	0.0876319
42	530.605	0.654567	0.0925697	530.553	0.52477	0.0742137	530.54	0.683727	0.0966936	530.533	0.58965	0.0833891
43	541.182	0.55379	0.0783177	541.138	0.592852	0.0838419	541.098	0.584337	0.0826378	540.922	0.593551	0.0839408
44	551.618	0.703631	0.0995085	551.536	0.621128	0.0878408	551.727	0.734055	0.103811	551.56	0.5897	0.0833961
45	562.418	0.672842	0.0951542	562.016	0.746215	0.105531	562.164	0.702875	0.0994016	562.153	0.658268	0.0930931
