NumElements	Add	AddStdDev	Sub	SubStdDev	Mul	MulStdDev	Div	DivStdDev
131072	0.324516	0.0201451	0.431129	0.018466	0.320091	0.0230682	0.322243	0.0237789
262144	0.306686	0.0208667	0.448898	0.0187917	0.297699	0.021471	0.295547	0.022803
393216	0.302246	0.017656	0.430969	0.019647	0.324402	0.0217948	0.393402	0.0198263
524288	0.340179	0.0203268	0.400146	0.0187963	0.337921	0.0216373	0.464722	0.015993
655360	0.315674	0.0151102	0.486633	0.0133321	0.451111	0.0194804	0.473328	0.0135323
786432	0.293152	0.0211148	0.382019	0.0123206	0.366516	0.0122915	0.288696	0.0127524
917504	0.280396	0.0116428	0.291321	0.0142351	0.28479	0.00991368	0.260132	0.0105453
1048576	0.304382	0.0111436	0.273438	0.0115379	0.362122	0.097338	0.119995	0.0214497
1179648	0.275635	0.0137579	0.273499	0.0148941	0.293335	0.0119854	0.0422363	0.0094065
1310720	0.331055	0.0125583	0.286621	0.0185866	0.333252	0.0791248	0.104126	0.0111659
1441792	0.369019	0.0390051	21.8599	21.6013	0.266724	0.0889976	0.135742	0.0123872
1572864	21.7488	21.3854	21.7555	21.4229	0.326782	0.0106546	22.9247	22.652
1703936	0.92334	26.3923	0.126465	25.527	0.934692	26.404	1.41895	26.8896
1835008	-0.557007	24.8355	-0.873169	24.3401	-0.559326	24.9064	-37.7021	12.2685
1966080	-37.3589	13.1556	-37.2371	13.1582	-37.4764	13.1714	-37.4358	13.1427
2097152	-1.52637	15.8964	0.462158	14.0254	0.248901	14.0165	0.320313	13.9726
2228224	0.45166	14.8267	0.40271	14.896	0.248657	14.8135	0.418091	14.9031
2359296	0.210327	15.7706	0.17688	15.7744	-0.00012207	15.7504	15.9791	0.0109074
2490368	0.219849	16.5833	0.186035	16.5758	0.0244141	16.6042	0.284058	16.5642
2621440	2.58545	17.3975	2.51221	17.4323	-11.0654	31.0418	2.57642	17.4472
2752512	0.217529	18.3065	0.150391	18.3459	0.301514	18.2266	0.3396	18.2319
2883584	0.337402	19.1004	0.175293	19.156	0.374756	19.1306	0.162354	19.1149
3014656	0.40918	20.0162	0.30249	19.9869	0.580566	19.8859	0.273926	20.0203
3145728	0.437744	20.8575	0.22583	20.9076	0.495361	20.8247	0.205811	20.9208
3276800	0.373291	21.7437	-16.7441	38.7413	0.351074	21.6956	0.273682	21.7236
3407872	-17.325	40.2896	-17.3982	40.2858	0.309082	22.5338	0.333496	22.5184
3538944	0.308105	23.4479	0.31543	23.4095	0.235107	23.4736	0.150391	23.5377
3670016	0.324463	24.275	0.358154	24.2689	0.231201	24.3774	0.258301	24.2963
3801088	0.336426	44.9113	7.28589	37.9465	20.0371	25.209	0.319336	44.9087
3932160	-20.1406	46.4502	0.355713	25.9887	-20.1646	46.4474	0.300049	26.0352
4063232	-20.8303	47.9939	0.206055	26.9742	-16.406	51.4001	0.196777	26.9106
4194304	22.1184	27.7839	22.0637	27.7669	22.0415	27.7211	22.0215	27.7819
