WorkgroupSize	Runtime	StandardDeviation
1	10383.7	2767.34	195.681
2	5854.88	3015.17	113.963
3	12367.1	3168.72	200.407
4	12379.4	262.199	37.0805
5	11775.1	220.508	31.1846
6	11113.6	226.388	32.0161
7	10689.6	223.581	31.6191
8	10384	216.782	30.6576
9	10270.3	212.476	30.0486
10	10063.4	211.697	29.9384
11	9909.3	208.827	29.5326
12	8733.51	2048.12	167.228
13	6473.6	2648.74	124.863
14	4714.15	1994.28	94.0115
15	3590.06	0.158871	0.0224678
16	3367.82	0.200831	0.0284018
17	3171.99	0.237875	0.0336406
18	2996.58	0.19438	0.0274894
19	2840.32	0.158235	0.0223778
20	2701.13	0.198236	0.0280348
21	2573.24	0.2463	0.0348321
22	2458.79	0.27035	0.0382332
23	2352.35	0.261141	0.0369309
24	2256.3	0.292989	0.0414349
25	2166.14	0.25668	0.0363
26	2085.1	0.127095	0.0179739
27	2008.33	0.195021	0.0275801
28	1937.77	0.25105	0.0355038
29	1873.17	0.19344	0.0273566
30	1811.57	0.19755	0.0279377
31	1753.12	0.160625	0.0227158
32	1699.47	0.12997	0.0183806
33	1648.9	0.142417	0.0201408
34	1601.54	0.140924	0.0199297
35	1556.38	0.240683	0.0340377
36	1513.97	0.364009	0.0514787
37	1474.52	0.165866	0.023457
38	1435.41	0.144775	0.0204742
39	1400.38	0.191783	0.0271222
40	1365.25	0.120472	0.0170372
41	1333.08	0.134442	0.019013
42	1302.15	0.239401	0.0338563
43	1272.43	0.168457	0.0238234
44	1244.33	0.303238	0.0428843
45	1218.85	0.479517	0.0678139
46	1192.69	0.581237	0.0821993
47	1168.6	0.44042	0.0622848
48	1145.29	0.454318	0.0642503
49	1124.08	0.631928	0.0893681
50	1103.02	0.479941	0.067874
51	1080.95	0.436495	0.0617297
52	1061.78	0.483161	0.0683293
53	1041.33	0.352098	0.0497941
54	1022.7	0.374359	0.0529423
55	1004.68	0.426742	0.0603504
56	988.276	0.46344	0.0655403
57	970.627	0.396405	0.0560601
58	955.349	0.478331	0.0676462
59	938.873	0.448353	0.0634066
60	923.307	0.51709	0.0731276
61	909.691	0.483737	0.0684107
62	895.433	0.544069	0.076943
63	881.093	0.646082	0.0913697
64	867.466	0.760867	0.107603
65	1659.48	0.0957737	0.0135444
66	1634.59	0.0910159	0.0128716
67	1610.38	0.0599672	0.00848064
68	1586.92	0.0846899	0.011977
69	1564.21	0.10354	0.0146427
70	1542.18	0.140344	0.0198477
71	1520.85	0.0881624	0.012468
72	1499.95	0.0784195	0.0110902
73	1479.58	0.0819046	0.0115831
74	1459.79	0.0816383	0.0115454
75	1440.5	0.0876305	0.0123928
76	1421.65	0.0978667	0.0138404
77	1403.41	0.0932007	0.0131806
78	1385.54	0.093321	0.0131976
79	1368.23	0.0924659	0.0130767
80	1351.31	0.0913857	0.0129239
81	1334.8	0.0786157	0.0111179
82	1318.82	0.106626	0.0150791
83	1303.01	0.0914829	0.0129376
84	1287.72	0.0932114	0.0131821
85	1272.77	0.0908536	0.0128486
86	1258.03	0.161291	0.02281
87	1243.72	0.162179	0.0229356
88	1229.79	0.109578	0.0154966
89	1216.12	0.124732	0.0176397
90	1202.75	0.118413	0.0167462
91	1189.95	0.152571	0.0215768
92	1177.27	0.0958348	0.0135531
93	1164.79	0.100008	0.0141432
94	1152.54	0.104463	0.0147733
95	1140.64	0.0920333	0.0130155
96	1128.79	0.136602	0.0193185
97	1117.27	0.162216	0.0229409
98	1106.04	0.157926	0.0223341
99	1095.02	0.156111	0.0220774
100	1084.26	0.127858	0.0180819
101	1073.6	0.128767	0.0182104
102	1063.12	0.0542717	0.00767518
103	1052.92	0.0763014	0.0107906
104	1042.93	0.0839459	0.0118717
105	1033.17	0.0719033	0.0101687
106	1023.63	0.125457	0.0177423
107	1014.33	0.141891	0.0200665
108	1005.05	0.154132	0.0217975
109	996.004	0.130778	0.0184948
110	987.151	0.163059	0.02306
111	978.415	0.141627	0.0200291
112	969.796	0.0907787	0.0128381
113	961.375	0.0836549	0.0118306
114	953.124	0.0697215	0.00986011
115	944.978	0.0839543	0.0118729
116	936.869	0.0829919	0.0117368
117	929.042	0.112024	0.0158426
118	921.282	0.0983829	0.0139134
119	913.767	0.0847905	0.0119912
120	906.189	0.081771	0.0115642
121	898.865	0.0986374	0.0139494
122	891.54	0.0841693	0.0119033
123	884.44	0.070811	0.0100142
124	877.358	0.0719994	0.0101823
125	870.54	0.074469	0.0105315
126	863.731	0.0746573	0.0105581
127	857.042	0.145298	0.0205482
128	850.431	0.1263	0.0178615
129	1258.07	0.130925	0.0185156
130	1248.59	0.129366	0.0182952
131	1239.14	0.149005	0.0210724
132	1230.07	0.12661	0.0179053
133	1220.96	0.0827572	0.0117036
134	1211.94	0.0750844	0.0106185
135	1203.06	0.0958647	0.0135573
136	1194.32	0.0785375	0.0111069
137	1185.73	0.144085	0.0203766
138	1177.15	0.160199	0.0226555
139	1168.89	0.12301	0.0173963
140	1160.56	0.120914	0.0170998
141	1152.52	0.153551	0.0217154
142	1144.32	0.158433	0.0224059
143	1136.47	0.124092	0.0175493
144	1128.68	0.135858	0.0192132
145	1121.08	0.113505	0.016052
146	1113.41	0.130893	0.018511
147	1105.98	0.138347	0.0195652
148	1098.65	0.176197	0.024918
149	1091.34	0.137286	0.0194152
150	1084.3	0.157849	0.0223233
151	1077.17	0.162291	0.0229515
152	1070.34	0.145219	0.0205371
153	1063.35	0.0766658	0.0108422
154	1056.61	0.078435	0.0110924
155	1049.91	0.08002	0.0113165
156	1043.32	0.1045	0.0147786
157	1036.75	0.0719848	0.0101802
158	1030.28	0.0846814	0.0119758
159	1023.84	0.0984093	0.0139172
160	1017.57	0.112365	0.0158908
161	1011.3	0.0979692	0.0138549
162	1005.19	0.0964223	0.0136362
163	999.033	0.0847183	0.011981
164	993.133	0.074456	0.0105297
165	987.138	0.0728795	0.0103067
166	981.307	0.0967879	0.0136879
167	975.513	0.0922655	0.0130483
168	969.833	0.0816779	0.011551
169	964.131	0.106963	0.0151269
170	958.553	0.11093	0.0156879
171	953.06	0.103335	0.0146137
172	947.522	0.108241	0.0153075
173	942.033	0.150973	0.0213509
174	936.693	0.161213	0.0227989
175	931.469	0.14072	0.0199008
176	926.222	0.138299	0.0195584
177	921.049	0.134955	0.0190856
178	916.191	0.161895	0.0228954
179	911.296	0.0969321	0.0137083
180	906.184	0.109091	0.0154278
181	901.306	0.0656582	0.00928547
182	896.422	0.0744733	0.0105321
183	891.507	0.149214	0.0211021
184	886.704	0.134052	0.0189578
185	882.047	0.134828	0.0190676
186	877.467	0.122989	0.0173932
187	872.682	0.105378	0.0149027
188	868.229	0.125746	0.0177832
189	863.696	0.126552	0.0178971
190	859.162	0.119302	0.0168719
191	854.751	0.0885531	0.0125233
192	850.267	0.0898882	0.0127121
193	1122.82	0.0894697	0.0126529
194	1117.1	0.076687	0.0108452
195	1111.43	0.0789458	0.0111646
196	1105.9	0.0876995	0.0124026
197	1100.4	0.0746491	0.010557
198	1095	0.138525	0.0195903
199	1089.68	0.0764358	0.0108097
200	1084.36	0.0877509	0.0124099
201	1079.06	0.0980395	0.0138649
202	1073.74	0.108174	0.0152981
203	1068.42	0.0986561	0.0139521
204	1063.23	0.0881518	0.0124665
205	1058.2	0.091317	0.0129142
206	1053.1	0.0880939	0.0124584
207	1048.18	0.0862014	0.0121907
208	1043.07	0.0801852	0.0113399
209	1038.19	0.0841195	0.0118963
210	1033.28	0.112637	0.0159293
211	1028.6	0.0981377	0.0138788
212	1023.72	0.0715214	0.0101147
213	1019.04	0.116106	0.0164199
214	1014.16	0.138785	0.0196272
215	1009.47	0.10417	0.0147319
216	1004.98	0.113795	0.016093
217	1000.29	0.113916	0.0161101
218	995.811	0.151015	0.0213567
219	991.613	0.17988	0.0254389
220	987.151	0.0945932	0.0133775
221	982.918	0.0947888	0.0134052
222	978.407	0.0994053	0.014058
223	974.122	0.117221	0.0165776
224	969.611	0.144116	0.020381
225	965.315	0.0722802	0.010222
226	961.229	0.0652116	0.00922231
227	956.976	0.0987136	0.0139602
228	952.878	0.0816456	0.0115464
229	948.773	0.0838793	0.0118623
230	944.705	0.0730894	0.0103364
231	940.651	0.0744745	0.0105323
232	936.72	0.108169	0.0152975
233	932.722	0.0752922	0.0106479
234	928.822	0.0809192	0.0114437
235	924.96	0.0801675	0.0113374
236	921.06	0.0717562	0.0101479
237	917.209	0.0659624	0.00932849
238	913.566	0.0682525	0.00965236
239	909.756	0.126955	0.0179542
240	906.22	0.0726989	0.0102812
241	902.593	0.0857929	0.012133
242	898.909	0.0767218	0.0108501
243	895.267	0.0869794	0.0123007
244	891.547	0.0998456	0.0141203
245	888.011	0.0984707	0.0139259
246	884.547	0.120553	0.0170488
247	880.887	0.0882813	0.0124849
248	877.411	0.0931744	0.0131769
249	874.007	0.108653	0.0153659
250	870.553	0.104042	0.0147138
251	867.262	0.104711	0.0148084
252	863.807	0.104818	0.0148234
253	860.596	0.0891849	0.0126127
254	857.142	0.0978969	0.0138447
255	853.687	0.151732	0.0214582
256	850.331	0.128043	0.018108
