NumElements	Add	AddStdDev	Sub	SubStdDev	Mul	MulStdDev	Div	DivStdDev
131072	0.322563	0.10719	0.799358	0.512182	0.217602	0.103127	0.238079	0.0868868
262144	0.190067	0.120855	0.269444	0.122461	0.313599	0.128486	0.475529	0.123782
393216	0.845444	0.148121	0.385277	0.102992	0.732811	0.14624	0.261131	0.139615
524288	1.09248	0.144335	1.3549	0.133341	1.16224	0.148831	0.588799	0.152563
655360	1.44899	0.148813	1.53664	0.168975	1.40544	0.141261	0.605446	0.144352
786432	1.29408	0.146859	1.45281	0.14519	1.66467	0.151926	0.276489	0.14164
917504	1.20451	0.200812	1.49951	0.1699	1.33954	0.158808	0.0940857	0.156779
1048576	7.52322	0.740099	3.11552	0.494796	9.83551	0.53194	6.03203	0.70657
1179648	2.38911	0.199495	2.52356	0.207802	2.68414	0.238952	0.540817	0.174684
1310720	2.537	0.164345	2.6445	0.185733	2.34689	0.212774	0.474258	0.153006
1441792	2.59579	0.245608	3.07326	0.210598	2.94655	0.176014	0.987473	0.176175
1572864	3.31517	0.22215	3.24928	0.188095	3.09375	0.233225	0.986847	0.144809
1703936	3.58658	0.254698	3.30049	0.228938	3.5629	0.19407	1.26785	0.186713
1835008	3.76575	0.274663	4.07106	0.192154	3.89885	0.221138	1.28383	0.172463
1966080	3.8503	0.273265	3.56355	0.228961	3.95079	0.250238	0.994644	0.194926
2097152	4.448	0.218815	4.55429	0.22074	4.08255	0.215506	1.35175	0.196582
2228224	4.60544	0.269124	4.41916	0.259546	4.69879	0.272027	1.44824	0.18257
2359296	4.37692	0.235412	4.63358	0.237484	4.9184	0.282477	1.35291	0.212481
2490368	4.78976	0.230914	4.70145	0.357921	4.8147	0.328824	1.25754	0.192368
2621440	4.62326	0.264082	4.6969	0.266454	5.01306	0.246491	1.30042	0.205303
2752512	5.69281	0.291822	5.44513	0.311203	6.28156	0.322321	2.13687	0.211159
2883584	5.392	0.275562	5.9903	0.288102	5.81372	0.287524	1.14429	0.209172
3014656	5.79462	0.326581	6.53561	0.286573	5.95837	0.307467	2.00003	0.225544
3145728	6.27902	0.321923	6.32452	0.37672	7.26089	0.316865	1.99622	0.217359
3276800	6.67447	0.250844	6.37497	0.349188	6.44931	0.310808	1.50455	0.205574
3407872	6.75641	0.347338	6.6265	0.295224	7.37024	0.330317	2.20862	0.210961
3538944	6.17221	0.257209	6.87482	0.316176	6.68347	0.351728	1.64474	0.216016
3670016	6.69064	0.340437	7.16486	0.295675	7.23395	0.350434	2.09921	0.264715
3801088	7.17126	0.357446	7.00677	0.38571	6.57474	0.372606	1.10278	0.278534
3932160	7.53479	0.35705	6.9805	0.36459	8.60031	0.438983	2.1575	0.277482
4063232	7.7005	0.321984	7.54742	0.267802	6.90051	0.320397	2.19208	0.239818
4194304	7.698	0.36698	7.89819	0.365471	7.97955	0.359066	2.25861	0.26676
4325376	9.21729	0.441261	8.7066	0.37401	8.9574	0.41517	2.29309	0.259178
4456448	9.83862	0.361601	8.51385	0.38786	9.80219	0.373626	3.08087	0.264152
4587520	8.93042	0.339213	8.12738	0.352282	8.27332	0.350828	2.67261	0.268008
4718592	8.81671	0.391716	8.45441	0.363714	8.67706	0.339607	1.41382	0.292771
4849664	9.21997	0.392413	9.59937	0.43086	9.52649	0.367069	2.24512	0.26792
4980736	9.83093	0.387	8.97968	0.314135	9.35669	0.410964	3.2403	0.264027
5111808	9.75732	0.328141	10.3014	0.367144	9.52893	0.401936	1.93793	0.295038
5242880	9.74139	0.411186	10.053	0.406858	9.96863	0.440499	3.03369	0.286291
5373952	10.3987	0.337251	10.8743	0.389349	9.78955	0.404538	3.35364	0.260394
5505024	9.73676	0.401147	11.5295	0.372377	10.7487	0.396688	3.01617	0.272115
