NumAccesses	Runtime	StdDev	StdErr
1	80.3716	10.0381	1.41959
2	137.454	1.45461	0.205714
3	167.111	3.29824	0.466442
4	227.131	3.40725	0.481858
5	273.396	4.5439	0.642604
6	314.71	1.54149	0.217999
7	354.853	3.73527	0.528247
8	396.395	4.05428	0.573362
9	439.476	2.47716	0.350323
10	482.726	3.06508	0.433468
11	525.2329999999999	7.11329	1.00597
12	569.279	0.393598	0.0556631
13	610.0549999999999	1.37705	0.194744
14	656.241	2.64389	0.373903
15	697.939	1.1811	0.167032
16	783.978	3.23504	0.457503
17	789.078	2.80019	0.396007
18	833.021	1.55312	0.219644
19	913.931	3.05654	0.43226
20	916.245	2.14748	0.3037
21	969.67	2.32618	0.328971
22	1044.73	2.69868	0.38165
23	1051.74	3.39073	0.479522
24	1096.61	1.51674	0.2145
25	1176.79	2.08399	0.294721
26	1187.16	2.08984	0.295548
27	1226.86	1.79643	0.254054
28	1306.63	2.56989	0.363438
29	1319.85	2.70173	0.382083
30	1351.51	1.7269	0.244221
31	1438.96	1.76547	0.249675
32	1453.94	1.47276	0.20828
33	1466.08	1.37524	0.194488
34	1581.17	2.05956	0.291266
35	1595.74	0.950493	0.13442
36	1641.21	1.22623	0.173415
37	1719.49	2.36388	0.334303
38	1717.7	1.59737	0.225902
39	1767.96	1.64671	0.23288
40	1854.1	1.58452	0.224084
41	1851.55	4.45336	0.6298
42	1898.94	1.43969	0.203602
43	1984.57	1.91635	0.271013
44	1985.89	1.57934	0.223352
45	2040.59	1.45248	0.205412
46	2114.54	2.1307	0.301327
47	2107.21	1.0111	0.142991
48	2162.6	1.32175	0.186924
49	2244.03	2.02163	0.285901
50	2240.94	1.37157	0.193969
51	2292.21	1.36479	0.193011
52	2377.44	1.67689	0.237148
53	2375.41	1.27134	0.179794
54	2427.32	1.41269	0.199785
55	2509.28	1.7092	0.241718
56	2502.74	1.38933	0.196481
57	2553.36	1.73067	0.244753
58	2641.31	1.76198	0.249181
59	2631.48	1.16852	0.165254
60	2683.04	1.07409	0.151899
61	2771.75	1.65073	0.233448
62	2761.44	1.47724	0.208914
63	2811	1.5166	0.21448
64	2900.73	1.58	0.223445
65	2865.09	1.65069	0.233443
66	2953.9	1.5892	0.224747
67	3014.5	1.77313	0.250759
68	3039.4	1.64129	0.232113
69	3080.07	2.14779	0.303743
70	3142.07	1.56319	0.221068
71	3168.64	1.86336	0.263519
72	3206.18	1.92122	0.271701
73	3276.02	2.01146	0.284463
74	3300.14	1.79814	0.254295
75	3341.33	2.09084	0.29569
76	3408.6	1.75349	0.24798
77	3431.22	1.90247	0.26905
78	3471.67	1.43674	0.203186
79	3541.07	2.11019	0.298425
80	3562.72	1.35137	0.191112
81	3605.49	2.39818	0.339154
82	3674.94	1.73593	0.245497
83	3691.56	1.49743	0.211768
84	3736.78	2.02979	0.287055
85	3805.72	1.88708	0.266873
86	3820.4	1.53394	0.216932
87	3870.44	1.79781	0.254249
88	3935.43	1.74493	0.24677
89	3955.73	1.79899	0.254415
90	4000.23	1.86554	0.263827
91	4065.54	2.36164	0.333987
92	4088.03	1.58862	0.224665
93	4131.3	1.96887	0.278441
94	4197.83	1.75825	0.248654
95	4217.07	1.63667	0.23146
96	4262.82	1.96467	0.277846
97	4305.62	1.64866	0.233156
98	4341.17	1.87601	0.265308
99	4376.91	1.89403	0.267857
100	4443.06	2.14072	0.302744
101	4465.28	1.53868	0.217602
102	4508.59	1.63387	0.231065
103	4577.78	1.77664	0.251254
104	4597.31	1.92033	0.271575
105	4642.61	1.6987	0.240232
106	4708.19	2.06702	0.292321
107	4727.03	1.63021	0.230546
108	4773.3	1.85011	0.261645
109	4840.99	2.24626	0.317669
110	4864.42	1.8404	0.260272
111	4905.14	1.96602	0.278037
112	4970.19	2.15091	0.304184
113	4994.54	1.66827	0.235928
114	5032.78	1.65674	0.234298
115	5100.96	2.33612	0.330378
116	5125.92	1.96545	0.277957
117	5169.64	1.59655	0.225787
118	5231.66	2.12422	0.30041
119	5257.23	1.4869	0.21028
120	5298.24	1.69778	0.240102
121	5362.41	2.22832	0.315132
122	5386.75	1.44739	0.204692
123	5429.06	1.47963	0.209252
124	5495.15	2.20476	0.311801
125	5516.32	1.30322	0.184303
126	5559.21	1.2276	0.173608
127	5623.02	1.82583	0.258211
128	5645.87	1.5254	0.215724
