NumOps	Add	AddStdDev	AddStdErr	Sub	SubStdDev	SubStdErr	Mul	MulStdDev	MulStdErr	Div	DivStdDev	DivStdErr
1	285.645	56.3044	7.96265	306.403	83.3999	11.7945	284.733	57.1792	8.086360000000001	306.152	66.3121	9.37795
2	291.011	68.19289999999999	9.643929999999999	290.87	58.9442	8.33597	289.802	49.6742	7.02499	296.573	70.28530000000001	9.93984
3	292.956	56.5589	7.99864	293.761	67.55370000000001	9.55354	292.929	55.0416	7.78406	294.383	58.0037	8.202959999999999
4	284.54	42.6642	6.03364	283.219	54.7243	7.73919	293.797	64.44029999999999	9.11323	298.25	61.4393	8.68882
5	295.244	63.8613	9.03135	301.782	69.7856	9.86918	302.091	65.1936	9.21977	304.947	68.456	9.681139999999999
6	289.553	59.7494	8.44985	293.773	68.114	9.632770000000001	290.275	58.5823	8.284789999999999	305.272	76.9324	10.8799
7	298.573	74.3775	10.5186	293.932	67.0934	9.488440000000001	296.975	59.0975	8.35765	297.29	56.8214	8.03576
8	291.47	60.6068	8.571099999999999	290.426	58.4165	8.261340000000001	309.505	74.4461	10.5283	291.3	55.8073	7.89234
9	293.893	54.0405	7.64248	296.76	69.7411	9.862880000000001	298.436	56.5007	7.9904	294.477	59.4197	8.403219999999999
10	300.434	69.7533	9.864610000000001	285.565	52.7851	7.46494	298.941	65.3882	9.24729	298.198	57.0089	8.06227
11	290.035	60.8537	8.606019999999999	287.96	55.7902	7.88992	302.959	65.13290000000001	9.21119	303.148	58.0871	8.21476
12	306.474	74.54989999999999	10.5429	287.019	57.5056	8.13251	296.486	59.8857	8.46912	136.946	42.1709	5.96386
13	296.737	64.52809999999999	9.125640000000001	285.029	55.0371	7.78342	297.96	60.6605	8.5787	147.526	54.2602	7.67355
14	298.931	70.3253	9.945510000000001	293.629	65.7564	9.29937	293.563	57.428	8.12154	146.476	54.6663	7.73098
15	289.558	54.1562	7.65884	305.755	81.0064	11.456	305.915	67.37560000000001	9.528359999999999	147.215	59.8661	8.46635
16	291.428	55.5148	7.85098	298.786	65.72499999999999	9.294919999999999	288.076	49.215	6.96005	151.272	65.1378	9.211880000000001
17	285.505	49.6966	7.02817	290.319	65.1096	9.207890000000001	305.503	66.346	9.38274	142.25	56.8971	8.04646
18	301.696	70.9363	10.0319	297.263	66.2651	9.3713	289.194	58.0629	8.21133	145.219	58.694	8.30058
19	299.089	55.9874	7.91781	297.206	73.8348	10.4418	305.837	68.8887	9.742330000000001	147.425	54.89	7.76261
20	298.519	60.6448	8.576460000000001	290.1	59.4959	8.41399	294.358	54.1589	7.65922	141.056	58.809	8.316850000000001
21	294.886	57.5748	8.14231	284.959	57.0213	8.064030000000001	294.941	59.7524	8.45026	131.791	40.3145	5.70134
22	298.451	55.8698	7.90118	291.905	70.89490000000001	10.0261	296.191	53.7301	7.59858	141.508	55.8923	7.90436
23	290.737	51.7534	7.31904	302.464	78.4495	11.0944	305.32	66.492	9.40339	144.352	61.5343	8.702260000000001
24	291.008	49.4774	6.99717	294.87	63.6017	8.99464	293.859	57.4275	8.12148	146.515	56.4894	7.98881
25	305.917	69.16370000000001	9.781219999999999	305.881	79.8978	11.2993	292.265	56.6001	8.00446	149.019	60.4533	8.549379999999999
26	297.292	58.2218	8.23381	291.591	63.2337	8.942600000000001	291.19	52.2009	7.38232	143.57	54.313	7.68103
27	303.551	70.371	9.95196	293.969	64.5896	9.13435	304.554	66.0641	9.34287	145.116	58.278	8.241759999999999
28	288.186	46.6553	6.59805	303.525	77.5236	10.9635	286.247	47.7049	6.74649	161.079	72.9216	10.3127
29	299.402	65.208	9.2218	299.889	75.1315	10.6252	295.822	53.5983	7.57994	147.374	64.0527	9.05841
30	297.587	65.8747	9.316090000000001	299.155	72.9688	10.3193	293.527	53.1703	7.51941	149.201	65.499	9.26296
31	300.021	60.5099	8.55739	292.196	57.5413	8.137560000000001	292.218	57.0306	8.06535	154.189	67.2556	9.511369999999999
32	295.878	60.4994	8.555910000000001	298.179	71.21599999999999	10.0715	296.629	57.7656	8.16929	154.177	71.44750000000001	10.1042
33	294.353	57.6314	8.150309999999999	309.529	78.8523	11.1514	300.082	61.8429	8.745900000000001	154.374	72.1416	10.2024
34	298.392	59.6384	8.434139999999999	302.003	79.1564	11.1944	287.361	48.3485	6.83751	145.132	54.3026	7.67955
35	299.075	56.8714	8.04283	291.498	62.0867	8.780390000000001	292.035	54.9901	7.77678	153.541	64.49930000000001	9.12158
36	291.957	60.6423	8.57612	313.153	76.64700000000001	10.8395	306.337	70.8015	10.0128	142.557	57.2688	8.099030000000001
37	298.294	62.4212	8.82769	314.261	82.09	11.6093	294.198	61.5	8.69741	150.28	62.2867	8.808680000000001
38	283.879	44.2339	6.25562	307.595	74.2086	10.4947	305.914	62.6494	8.859959999999999	152.827	71.7834	10.1517
39	303.02	66.1952	9.361420000000001	293.133	59.9621	8.47992	299.723	65.0462	9.198919999999999	152.905	67.2807	9.51493
40	298.616	67.0326	9.479850000000001	293.831	59.8085	8.4582	300.2	63.6271	8.99823	151.133	61.6573	8.71965
41	299.489	65.7457	9.297840000000001	288.036	61.7332	8.73039	298.567	65.1386	9.211980000000001	146.259	55.4823	7.84638
42	290.86	56.5944	8.00365	292.367	56.6984	8.018370000000001	306.143	86.6812	12.2586	144.527	53.4502	7.55899
43	299.77	67.553	9.55344	300.586	62.3857	8.82267	298.472	58.3886	8.257389999999999	143.934	61.2955	8.66849
44	305.476	75.14149999999999	10.6266	291.374	53.0119	7.49702	306.77	78.6764	11.1265	158.018	70.27800000000001	9.93881
45	311.685	76.47969999999999	10.8159	301.518	71.4181	10.1	290.356	57.0897	8.073700000000001	140.442	54.917	7.76644
46	296.499	56.3471	7.96869	303.148	72.3115	10.2264	309.79	79.4109	11.2304	151.24	60.5761	8.566750000000001
47	292.381	49.7855	7.04073	304.983	68.5146	9.68942	296.566	68.64790000000001	9.70829	140.289	54.2017	7.66527
48	299.044	69.245	9.792719999999999	306.179	74.2479	10.5002	292.348	52.6106	7.44026	153.196	59.615	8.43084
49	299.184	67.9834	9.61431	287.002	45.6937	6.46206	293.665	63.9274	9.04069	142.035	52.7037	7.45344
50	302.745	64.2332	9.08395	309.091	69.4854	9.82672	298.885	69.2209	9.78931	148.233	59.1502	8.3651
51	290.685	61.1648	8.65001	301.615	77.4119	10.9477	304.788	75.69759999999999	10.7053	143.692	59.6762	8.439489999999999
