NumberOfElements	private_access	private_StdDev	global_read	read_StdDev	global_write	write_StdDev	read_write_access	read_write_StdDev	const_ivl_access	const_ivl_StdDev	ivl_access	ivl_StdDev	cont_const_access	cont_const_StdDev	two_cont_access	two_cont_StdDev	cont2_cont1_access	cont1_cont2_StdDev	local_access	local_StdDev	just_local_access	just_local_StdDev
131072	-0.12159	0.354336	-0.145279	0.314455	35.062	1.31149	101.865	2.51162	47.6431	1.42326	35.8253	1.1232	103.244	2.67354	107.158	2.55698	123.427	2.93731	37.61539999999999	0.897577	2.553399999999996	0.897577
262144	0.0550346	0.7098449999999999	-0.437763	0.637578	63.6758	2.39783	210.665	5.06556	105.484	3.14783	88.13039999999999	2.90615	213.958	5.27242	226.862	5.6649	257.086	5.89337	79.703	1.8078	16.027	1.8078
393216	-0.161301	0.739272	-0.0640259	0.758319	95.5202	3.54769	289.721	6.79282	149.603	4.49141	124.313	3.97039	315.883	7.63584	318.619	7.74338	390.829	8.38428	132.6768	3.41573	37.15699999999998	3.41573
524288	-0.424347	0.831155	-0.240005	1.40049	159.77	5.29467	470.01	10.533	212.392	6.37822	199.673	6.16293	463.733	11.0672	471.398	10.5601	472.229	0.746662	175.745	4.59156	15.97499999999997	4.59156
655360	0.798737	0.9303	-0.456955	0.746945	159.487	5.79713	476.933	11.7095	253.328	7.67367	203.878	6.68556	519.176	12.9702	516.487	12.4378	642.386	14.0325	206.85	5.55781	47.363	5.55781
786432	0.336014	0.809214	-0.65538	0.62983	189.202	6.70736	603.917	14.0369	289.467	8.8276	236.726	7.3155	598.353	14.5199	622.341	14.1674	774.8	18.4457	256.454	6.09286	67.25200000000001	6.09286
917504	-1.06107	0.6513600000000001	-0.9772189999999999	0.621228	174.453	3.92675	711.549	15.9415	303.522	7.81667	236.016	7.3679	662.3390000000001	12.7449	688.747	14.5634	942.275	20.3337	289.293	8.693720000000001	114.84	8.693720000000001
1048576	-1.01054	0.508163	-1.06815	0.272792	257.969	9.01263	810.131	20.2494	392.491	11.3405	302.577	9.94486	794.027	17.2358	847.236	20.1406	1025.01	22.2943	354.919	8.89809	96.94999999999999	8.89809
1179648	-1.43935	0.0408905	-1.0502	0.0247097	280.349	9.82396	879.112	21.7974	466.185	13.6849	351.63	10.4319	839.213	18.1513	884.98	16.1369	1233.59	29.2808	389.9200000000001	8.546150000000001	109.571	8.546150000000001
1310720	-4.56004	0.661377	-5.81125	0.0461198	248.581	2.45856	958.374	18.1437	447.251	12.956	374.502	12.6452	970.776	22.6792	1007.78	22.8691	1276.8	29.0624	475.537	13.7107	226.956	13.7107
1441792	-1.3837	0.517204	-1.54056	0.398178	318.644	10.5327	1120.64	25.1144	521.1559999999999	16.0046	438.333	13.184	1065.04	25.2759	1082.08	24.3924	1472.9	28.6489	466.908	12.1083	148.264	12.1083
1572864	-0.166351	0.716177	-1.26141	0.469307	377.141	12.6609	1130.19	14.5358	565.062	15.0194	440.167	12.8258	1173.49	26.4027	1168.44	16.7677	1538.51	32.2722	524.8310000000001	13.2271	147.6890000000001	13.2271
1703936	-0.360352	0.8023670000000001	-1.72797	0.392644	410.55	14.2262	1331.96	27.0023	549.519	14.6777	496.314	16.0965	1255.73	29.7408	1314.29	24.2646	1651.26	28.2493	573.693	13.5622	163.144	13.5622
1835008	-1.21729	0.462973	-0.282867	0.590266	420.319	15.5216	1420.29	35.3205	635.1130000000001	16.2719	530.511	16.5235	1428.1	30.6635	1429.75	27.357	1834.75	38.6026	631.3440000000001	16.7165	211.025	16.7165
1966080	-0.601593	0.0442866	0.506256	0.444286	453.589	15.8381	1560.8	30.1247	641.412	16.1113	620.95	18.2898	1504.34	27.4639	1468.93	26.5252	1884.23	32.0562	663.7619999999999	17.7116	210.1729999999999	17.7116
2097152	-0.410248	0.0438404	0.0012207	0.02497	479.512	15.9673	1585.91	34.4064	735.544	17.9646	579.048	17.896	1542.46	34.2573	1607.34	39.59	2090.91	43.7909	669.4129999999999	15.323	189.901	15.323
