NumElements	Add	AddStdDev	Sub	SubStdDev	Mul	MulStdDev	Div	DivStdDev
1310720	-19.3114	20.8606	-35.7733	13.1578	-48.2677	7.25855	716.6849999999999	26.0657
1441792	-30.071	22.8557	-15.0876	25.0266	-68.7223	13.4831	752.7140000000001	22.7576
1572864	15.0238	20.9923	40.9	23.5889	25.6113	20.7761	986.725	35.4376
1703936	13.0265	26.4292	-20.1183	21.5592	-20.6517	18.648	1008.41	34.8655
1835008	13.7455	25.676	-19.365	16.8014	-25.5823	17.6632	1057.92	34.4989
1966080	-30.5787	27.8738	-26.2151	31.3	25.4747	32.8578	1099.13	35.4819
2097152	-25.4573	17.7503	-4.52319	21.5541	6.89001	20.8924	1164.51	25.6402
2228224	64.7197	30.46	1.25635	19.3692	4.7627	22.6068	1253.26	24.7786
2359296	0.756592	23.188	13.4465	23.5431	-0.612061	23.2279	1360.51	32.4026
2490368	38.6721	27.7348	2.50171	24.7931	0.757324	21.7817	1437.41	35.8432
2621440	32.2764	34.3311	-5.86963	30.0272	-9.373049999999999	27.7542	1495.2	33.2751
2752512	16.6985	26.7607	-4.39355	25.9928	-14.1497	23.7953	1592.56	34.9902
2883584	10.3267	27.7156	75.9563	34.2466	53.8655	31.8819	1604.29	35.4205
3014656	15.8955	26.4882	-22.9539	23.2114	0.449707	26.3239	1720	34.4325
3145728	10.4597	28.7221	19.8716	27.5231	-57.2297	20.253	1794.79	36.2062
3276800	-11.949	28.7029	15.0857	29.3407	-38.0032	23.5976	1849.72	35.2347
3407872	12.5339	30.2281	52.4268	31.8302	-19.7178	28.9784	1922.1	35.6242
3538944	3.71387	32.2238	-40.6558	29.694	-42.8181	28.2781	2014.53	37.5658
3670016	36.5312	33.9638	-46.4788	33.3474	160.054	27.3844	1885.53	32.3906
3801088	-12.6973	26.8225	-21.5981	23.6702	-40.249	23.5812	2104.71	29.171
3932160	12.2373	32.9862	-22.9429	28.92	-20.7705	28.9767	2183.72	35.0538
4063232	-19.9697	27.7357	-57.9792	29.0233	41.9268	31.9117	2201.6	34.3809
4194304	-7.30078	33.7852	-19.0381	30.8474	-34.1074	29.7172	2340.03	41.3365
4325376	-4.36816	33.4179	-7.85498	34.9057	-1.87012	35.0156	2503.51	41.5378
4456448	-30.7578	8.555350000000001	6.53027	21.176	213.586	32.8548	2555.26	38.1232
4587520	34.314	33.055	7.01758	32.2119	33.7886	31.7154	2594.81	36.541
4718592	26.2139	29.0653	3.65234	28.1694	62.3535	32.3243	2660.24	37.9758
4849664	-4.2168	31.8081	-45.6279	28.3942	-57.4771	28.8587	2635.85	37.8258
4980736	-3.04053	30.9279	8.12598	32.125	-18.3647	32.8965	2792.58	35.1414
5111808	2.50635	30.3793	-7.68115	29.5127	11.0615	30.0479	2849.24	46.2474
5242880	-199.058	22.1252	-36.0693	35.484	-48.2168	33.166	2831.7	35.7516
5373952	-6.27539	29.0009	14.6133	32.1804	-16.2583	28.4035	2987.72	38.8139
5505024	16.8735	28.4999	52.9531	30.0929	52.0767	30.1941	3103.18	38.7847
5636096	12.7598	32.1151	-12.0088	31.428	-7.3418	29.9526	3143.41	36.688
5767168	26.4717	29.8536	48.7627	31.7543	60.3325	28.086	3291.2	37.1338
5898240	-20.395	28.2257	51.083	30.8213	16.9824	29.5333	3322.75	41.5553
6029312	-48.0601	28.1252	-7.53418	29.9314	15.8462	32.1813	3324.58	38.2163
6160384	33.6675	29.3296	-47.6431	19.8071	68.2334	30.0062	3527.46	38.7
6291456	-5.71191	28.5534	20.1768	29.4429	30.6152	28.9223	3543.96	39.1901
6422528	-6.21826	30.0556	21.6152	29.9678	-19.4038	29.1251	3600.28	35.3776
6553600	22.2134	27.3623	76.7153	27.6392	69.13379999999999	27.771	3703.91	37.2586
6684672	23.7051	28.5058	32.1011	29.5402	14.6924	29.4698	3661.73	47.3646
6815744	-2.06055	30.1742	59.2393	30.3913	34.2549	31.0741	3834.28	39.0944
6946816	-6.45166	30.089	-88.4824	31.8501	-109.577	27.4314	3866.52	38.2843
7077888	5.44922	30.9208	28.8687	29.9296	23.6001	30.6826	3961.66	41.5177
7208960	20.9766	32.8838	15.7847	30.4118	24.2979	31.021	4026.84	38.8868
7340032	55.7065	31.8042	65.05029999999999	29.7638	44.8682	31.7964	4144.27	38.5063
