NumElements	Add	AddStdDev	Sub	SubStdDev	Mul	MulStdDev	Div	DivStdDev
262144	-2.36929	3.53517	1.9567	4.62498	-4.3786	1.99496	23.7552	3.98367
393216	15.3709	7.01781	0.5683589999999999	3.1779	12.7488	6.32272	51.8109	6.19821
524288	13.0877	9.79813	2.89905	6.46094	10.0517	9.145960000000001	41.7752	2.21766
655360	-2.23358	3.85494	28.3775	9.621980000000001	37.1537	11.8293	90.1619	9.47246
786432	-24.5862	14.1553	-20.4664	11.7348	-8.249879999999999	10.645	55.5887	13.4159
917504	14.6534	17.665	-3.85333	7.37381	2.39032	10.6741	97.9751	15.6156
1048576	11.3578	16.1849	-9.547790000000001	14.9979	-4.91418	19.5988	73.04649999999999	12.8765
1179648	-21.1412	14.8009	-41.0765	16.0836	-26.6855	16.1888	60.5682	9.24736
1310720	-11.9523	13.8009	-11.3307	10.6822	17.3024	17.1243	110.012	5.79738
1441792	59.4573	28.341	37.0581	22.7744	1.62756	13.0253	123.311	11.7629
1572864	-19.1808	25.0902	-28.2295	20.5128	19.0359	27.1357	120.867	19.684
1703936	-35.8442	17.1455	-28.2413	17.7078	-19.8638	19.865	172.639	23.0872
1835008	-36.843	23.9408	-12.5228	23.6193	-36.8378	20.0878	140.455	18.822
1966080	-22.1504	30.8456	-87.21729999999999	22.9807	-12.9012	33.149	139.751	25.1664
2097152	35.6172	19.2768	49.3433	14.6413	67.8573	17.3956	257.446	14.2492
2228224	-21.3909	30.1218	10.8318	32.121	-61.4082	20.162	185.237	20.6398
2359296	-7.85229	28.2867	27.0574	32.6937	-19.0061	25.6483	217.198	22.3343
2490368	13.2744	32.1354	-51.7744	11.5468	26.2727	27.2906	199.832	19.945
2621440	38.8445	32.3603	6.31958	27.0551	41.9534	29.6321	233.992	21.1851
2752512	2.03101	32.2247	13.9683	29.8637	7.15039	27.7561	258.617	23.7312
2883584	185.667	33.8838	34.4092	34.3329	2.78247	30.7733	256.74	22.411
3014656	8.17773	30.8174	7.12427	26.1792	8.753170000000001	25.7393	265.748	19.8188
3145728	-1.39062	34.3542	-45.2344	29.0098	-66.8291	22.9391	212.422	19.8772
3276800	12.4041	35.0977	-33.3801	22.469	44.958	33.2563	289.452	25.3971
3407872	-64.16800000000001	25.5956	24.5715	32.8188	9.557370000000001	31.0201	286.108	26.0893
3538944	12.3672	34.1613	3.15479	30.5158	36.2271	32.3708	321.97	27.2308
3670016	58.7012	38.4497	34.8047	36.2424	-132.699	19.0267	247.5	25.5804
3801088	40.6116	34.7806	51.4521	31.1233	21.947	26.5578	355.685	23.9521
3932160	26.0801	39.7141	22.1201	30.155	45.5747	34.1449	344.263	25.7821
4063232	23.5959	35.514	31.9822	34.7171	58.585	34.3759	379.49	24.0478
4194304	33.9243	39.4221	72.7246	34.0543	84.0171	36.6582	387.125	27.1207
4325376	-52.4082	34.5305	-18.6768	33.6447	-22.229	34.8525	351.153	30.0418
4456448	-124.526	39.0935	-246.767	2.95265	-198.648	17.0361	180.343	13.3209
4587520	38.7661	38.63	51.2803	31.6151	52.9282	34.2434	472.699	28.5501
4718592	11.6167	39.8974	51.0708	33.9211	12.207	30.4775	415.073	26.781
4849664	58.4639	43.9194	91.83839999999999	36.4076	115.918	36.6433	453.668	26.6361
4980736	-14.4277	42.6629	21.9229	33.1471	1.42236	30.0054	442.96	27.1837
5111808	47.9595	41.8544	30.4893	35.5486	11.6606	33.7975	419.816	26.3428
5242880	-57.0908	42.5544	-90.252	36.225	-66.4087	35.9278	328.368	28.75
5373952	1.07373	38.2507	41.748	30.8919	70.5239	31.2113	532.242	26.3554
5505024	-17.1924	40.4944	41.6128	34.0063	35.999	33.2624	493.855	25.2682
5636096	32.6255	46.463	4.98486	33.1088	44.25	34.9724	502.741	28.2084
5767168	1.34863	48.2044	-9.241210000000001	34.9654	60.0801	36.8327	520.151	28.457
