NumElements	MemPrediction	RuntimePrediction	ActualRuntime	StandardDeviation
1024	833.1890489599999	21.893794722256352		7.2	0.4
2048	839.12009792	28.2510705938411		7.4	0.9
4096	850.98219584	40.965622337010586		9.8	0.8
8192	874.70639168	66.39472582334957		18.0	1.7
16384	922.15478336	117.25293279602752		37.2	3.3
32768	1017.0515667200001	218.96934674138342		77.8	8.1
65536	1206.8451334400002	422.40217463209524		249.6	20.6
131072	1586.4322668799998	829.2678304135189		550.0	44.1
262144	2345.60653376	1642.9991419763662		1199.4	94.9
524288	3863.9550675200003	3270.461765102061		2495.0	202.8
1048576	6900.65213504	6525.387011353449		5390.0	427.9
2097152	12974.04627008	13035.23750385623		10763.4	865.6
4194304	25120.83454016	26054.938488861782		22327.4	2000.5
8388608	49414.41108032	52094.340458872895		52012.8	17524.7
16777216	98001.56416064002	104173.14439889514		115708.8	26152.4
33554432	195175.87032128	208330.75227893956		210004.0	19841.4
67108864	389524.48264256003	416645.96803902846		399227.6	15346.3
