WorkgroupSize	Runtime	StandardDeviation
1	45080.7	8452.42
2	22586.7	996.395
3	29895.1	4631.41
4	22951.9	14.1916
5	18778.9	13.3382
6	15620	9.3178
7	13360.1	14.8778
8	11441.1	11.8281
9	10457.6	11.2107
10	9434	9.78116
11	8619.690000000001	9.366949999999999
12	7866.57	12.2462
13	7371.69	11.5062
14	6853	12.3145
15	6437.44	15.0584
16	5757.25	16.8622
17	5719.72	15.5765
18	5398.57	12.8897
19	5148.13	13.2594
20	4863.24	11.916
21	4681.69	11.7015
22	4467.44	12.7289
23	4288.32	13.3668
24	4042.3	14.6099
25	3962.72	17.3836
26	3807.14	15.3728
27	3679.59	19.2399
28	3530.78	19.4938
29	3441.24	19.5033
30	3323.48	22.2338
31	3248.26	23.0605
32	2924.3	20.8428
33	3110.97	27.061
34	3019.15	24.6551
35	2952.08	35.0928
36	2838.69	24.1029
37	2801.59	37.8194
38	2717.46	31.4807
39	1276.36	697.603
40	893.347	11.9186
41	940.151	20.6977
42	964.447	48.5101
43	1092.97	37.0773
44	1141.77	37.28
45	1405.7	460.148
46	2288.95	49.4563
47	2252.52	59.6023
48	2104.77	56.7271
49	2165.35	46.6127
50	2122.04	49.1094
51	2090.98	51.3546
52	2048.95	60.1547
53	2017.33	54.4359
54	1992.74	54.1773
55	1960.07	53.166
56	1910.33	70.2557
57	1895.34	55.2771
58	1871.83	69.9269
59	1852.5	68.2002
60	1811.62	68.2171
61	1807.67	73.4239
62	1748.95	60.4375
63	1784.36	87.36369999999999
64	1599.98	107.078
65	1754.76	114.938
66	1731.04	109.228
67	1694.14	95.22410000000001
68	1671.7	110.086
69	1661.9	110.254
70	1663.69	128.166
71	1637.45	101.806
72	1598.29	131.603
73	1585.12	87.50749999999999
74	1560.58	100.055
75	1548.39	66.18680000000001
76	1542.24	94.5703
77	1522.45	90.65560000000001
78	1530.63	103.515
79	1515.28	102.086
80	1432.34	98.0801
81	1475.72	93.9967
82	1453.26	96.0956
83	1462.22	112.397
84	1451.65	119.847
85	1445.77	102.442
86	1427.4	107.34
87	1431.29	107.96
88	1380.32	124.364
89	1432.71	139.006
90	1376.41	100.525
91	1371.77	89.6833
92	1363.56	122.19
93	1346.71	115.961
94	1342.05	124.082
95	1322.55	118.312
96	1315.13	162.897
97	1335.7	96.37739999999999
98	1347.21	122.027
99	1356.26	130.666
100	1324	130.161
101	1340.74	115.012
102	1332.55	151.877
103	1298.87	111.974
104	1288.15	116.922
105	1315.75	128.448
106	1258.74	105.972
107	1304.37	116.59
108	1278.91	112.19
109	1271.18	126.805
110	1273.63	120.604
111	1281.31	108.271
112	1276.06	142.816
113	1251.72	104.842
114	1296.4	131.461
115	1268.11	122.358
116	1268.38	137.623
117	1306.96	152.081
118	1277.16	146.369
119	1209.83	110.929
120	1219.66	138.727
121	1270.87	183.425
122	1223.73	154.045
123	1192.85	131.458
124	1255.28	129.076
125	1219.19	160.555
126	1191.13	125.043
127	1194.38	120.144
128	1195.05	152.889
129	1325.18	109.79
130	1309.46	109.223
131	1309.6	110.044
132	1299.54	123.211
133	1303.81	113.773
134	1304.71	130.921
135	1291.54	102.407
136	1299.16	104.286
137	1283.53	94.83540000000001
138	1283.08	110.056
139	1288.6	105.888
140	1308.14	136.864
141	1261.94	103.829
142	1266.26	122.244
143	1298.89	128.113
144	1267.85	132.508
145	1266.39	133.128
146	1248.92	134.985
147	1304.83	147.822
148	1271.66	158.192
149	1270.72	174.421
150	1247.38	125.458
151	1230.98	107.355
152	1244.49	176.772
153	1271.95	187.657
154	866.477	447.845
155	361.517	4.0664
156	371.269	6.86909
157	384.117	2.7543
158	533.884	51.0595
159	545.431	25.23
160	340.844	64.22539999999999
161	418.02	8.499689999999999
162	434.04	6.24151
163	515.03	77.6464
164	596.2619999999999	28.7126
165	622.367	26.486
166	921.355	349.005
167	1307.51	107.105
168	1261.69	82.5013
169	1297.84	108.372
170	1298.81	117.594
171	1290.44	112.372
172	1307.77	182.781
173	1316.1	169.548
174	1268.36	116.864
175	1288.88	181.822
176	1248.28	152.045
177	1286.71	161.724
178	1304.41	162.559
179	1281.39	151.245
180	1293.35	163.11
181	1291.7	169.288
182	1246.11	159.591
183	1266.41	150.466
184	1275.29	174.066
185	1244.93	150.895
186	1231.51	138.535
187	1269.61	155.007
188	1220.87	114.19
189	1241.93	147.035
190	1242.14	124.503
191	1233.23	122.72
192	1202.69	135.96
193	1283.63	107.814
194	1287.71	111.822
195	1293.14	92.64790000000001
196	1278.46	123.606
197	1298.28	133.584
198	1286.63	96.3734
199	1239.18	68.6994
200	1273.28	148.4
201	1289.17	125.98
202	1286.76	150.92
203	1287.77	141.847
204	1242.9	127.503
205	1286.63	165.21
206	1238.15	151.307
207	1230.86	116.572
208	1264.79	153.458
209	1223.16	97.986
210	1257.3	151.864
211	1221.98	117.369
212	1239.25	128.367
213	1244.46	128.714
214	1243.79	107.485
215	1254.12	133.831
216	1252.05	133.652
217	1221.33	121.054
218	1240.7	111.639
219	1214.29	107.73
220	1215.22	124.811
221	1264.34	129.036
222	1267.94	124.629
223	1218.77	110.642
224	1198.7	137.255
225	1295.85	104.154
226	1308.52	130.397
227	1297.99	131.793
228	1258.84	115.418
229	1295.19	117.364
230	1301.91	156.596
231	1297.01	155.96
232	1251.81	135.006
233	1353.06	220.651
234	1282.86	166.557
235	1297.17	146.659
236	1316.25	204.675
237	1290.61	192.568
238	1288.21	144.211
239	1303.14	169.445
240	1239	149.906
241	1238.6	130.582
242	1298.22	173.346
243	1225.53	82.9739
244	1243.16	114.101
245	1260.83	153.345
246	1256.28	168.035
247	1258.19	125.429
248	1234.04	146.465
249	1258.29	99.51649999999999
250	1257.38	178.912
251	1242.81	160.603
252	1236.27	162.066
253	1247.66	142.262
254	1257.49	153.716
255	1259.33	147.684
256	1217.9	206.578
257	1330.87	156.017
258	1299.91	154.726
259	1334.67	152.974
260	1267.62	150.5
261	1311.37	155.722
262	1281.98	121.463
263	1316.4	151.41
264	1272.34	167.649
265	1266.02	125.056
266	1285.1	159.783
267	1258.72	136.857
268	1270.44	130.815
269	1278.93	128.934
270	1280.08	109.059
271	1275.87	110.719
272	1261.76	168.168
273	1258.51	111.881
274	1267	137.07
275	1283.07	152.698
276	1232.06	122.161
277	1279.17	140.494
278	1276.16	146.91
279	1265.17	125.253
280	402.171	203.958
281	379.498	6.24077
282	472.15	82.9961
283	548.4450000000001	34.0813
284	557.349	22.2051
285	888.038	344.31
286	1241.22	133.879
287	1224.37	115.858
288	1189.27	127.631
289	1316.95	121.011
290	1309.26	116.306
291	1317.92	141.496
292	1318.4	139.745
293	1327.59	141.905
294	1315.49	133.686
295	1324.69	123.599
296	1283.51	134.817
297	1302.82	119.38
298	1301.18	128.1
299	1290.03	103.761
300	1287.58	119.835
301	1299.89	101.607
302	1278.41	109.108
303	1295.3	104.47
304	1289.78	124.711
305	1307.29	125.51
306	1319.64	140.068
307	1287.12	109.169
308	1268.83	120.761
309	1303.92	127.337
310	1277.45	125.715
311	1290.77	122.921
312	1243.22	116.578
313	1298.36	145.079
314	1331.95	178.621
315	1284.96	178.496
316	1244.11	122.093
317	1269.95	152.455
318	1259.57	152.732
319	1247.74	146.249
320	1244.71	186.684
321	1366.9	119.618
322	1350.33	109.655
323	1362.47	111.904
324	1319.04	90.69289999999999
325	1354.23	119.812
326	1335.34	97.3451
327	1352.6	103.981
328	1323.35	123.777
329	1354.14	119.153
330	1347.84	93.7422
331	1361.66	108.993
332	1334.7	133.827
333	1367.15	112.405
334	1338.96	113.669
335	1310	92.8368
336	1329.54	159.799
337	1336.05	124.845
338	1323.66	130.995
339	628.352	419.367
340	417.456	8.59376
341	452.017	55.3838
342	593.384	35.9493
343	614.755	33.688
344	673.915	185.508
345	1308.99	131.155
346	1322.01	110.101
347	1320.92	115.273
348	1317.4	115.01
349	1349.67	121.626
350	1279.59	107.105
351	1297.16	102.681
352	1249.08	109.939
353	1323.04	84.9074
354	1365.18	151.777
355	1315.51	98.0776
356	1294.93	95.55719999999999
357	1328.52	121.095
358	1310.26	144.77
359	1332.51	157.975
360	1307.3	136.539
361	1317.2	112.17
362	1298.98	103.673
363	1335.05	129.104
364	1302.71	142.22
365	1336.23	129.391
366	1316.99	120.204
367	1308.13	118.465
368	1282.23	119.931
369	1268.42	116.704
370	1289.95	107.389
371	1289.52	122.557
372	1255.91	94.2008
373	1303.93	130.355
374	1278.39	105.787
375	1288.69	116.729
376	1277.08	130.642
377	1290.83	142.365
378	1276.65	115.001
379	1262.27	105.893
380	1279.43	112.977
381	1282	122.716
382	453.506	259.675
383	388.81	5.98015
384	341.477	12.8762
385	454.658	9.029629999999999
386	474.186	11.4661
387	450.15	11.9758
388	447.183	9.654820000000001
389	485.411	26.4495
390	605.576	26.6476
391	649.502	21.1749
392	665.87	16.2986
393	1372.02	97.7869
394	1386.05	136.787
395	1392.33	131.487
396	1362.27	114.076
397	578.266	351.78
398	435.48	9.207330000000001
399	441.354	8.73659
400	423.032	11.5528
401	436.235	8.72851
402	454.121	13.5313
403	474.017	24.5588
404	424.605	6.65568
405	431.882	8.714460000000001
406	451.508	10.9278
407	474.732	34.0473
408	584.779	29.9368
409	623.688	22.5
410	652.876	27.9298
411	1308.45	196.909
412	1358.87	120.892
413	1364.14	97.3968
414	1359.23	118.644
415	1332.24	107.963
416	1304.37	117.553
417	1362.92	107.325
418	1372.38	115.351
419	851.535	344.774
420	1208.21	319.13
421	1338.49	121.165
422	1364.66	153.632
423	1373.97	128.288
424	1321.49	142.65
425	1337.96	115.816
426	1339.49	146.926
427	1340.47	124.85
428	510.502	309.838
429	397.312	5.08238
430	406.347	7.76208
431	426.736	7.02761
432	389.829	15.4526
433	399.131	6.98119
434	398.665	6.01796
435	418.593	7.78413
436	561.0890000000001	57.6462
437	604.591	23.4527
438	627.509	32.5317
439	1167.14	312.859
440	1279.4	106.685
441	1346.46	129.955
442	1342.07	148.558
443	1337.16	135.333
444	1300.02	105.173
445	1356.27	130.476
446	1319.21	109.628
447	1289.48	94.4931
448	1239.6	107.713
449	1332.75	117.429
450	1320.05	92.2972
451	1344.15	113.011
452	1314.06	112.429
453	1313.87	99.37179999999999
454	1351.92	154.81
455	1319.7	105.17
456	1282.59	99.5307
457	1305.47	119.818
458	1364.41	138.513
459	1341.98	130.298
460	1289.63	99.2821
461	1345.2	129.633
462	1306.51	110.409
463	1321.84	129.578
464	1252.6	109.67
465	1333.76	144.664
466	1293.41	122.981
467	1346.48	135.737
468	1298.58	124.201
469	1304.83	115.864
470	1319.48	125.015
471	1307.1	119.479
472	1284.03	128.647
473	1295.18	95.8865
474	1317.31	137.686
475	1323.29	144.607
476	1289.47	136.335
477	1317.24	111.837
478	1293.49	109.167
479	1311.72	141.055
480	1222.88	102.777
481	1297.15	142.541
482	1307.73	151.864
483	1285.24	118.415
484	1305.08	155.716
485	1288.58	144.053
486	1266.04	102.049
487	1292.63	157.745
488	1248.72	151.515
489	1297.62	193.143
490	1278.4	163.191
491	1299.92	171.805
492	1283.16	161.02
493	1262.92	166.71
494	1298.42	128.062
495	1268.13	143.264
496	1250.33	134.182
497	1290.2	143.141
498	1256.56	123.226
499	1298.72	130.425
500	1286.41	113.899
501	1257.51	125.185
502	1256.76	134.811
503	1291.25	145.41
504	1264.85	128.268
505	1290.44	155.381
506	1238.6	135.88
507	1270.59	139.936
508	1258.84	164.98
509	1241	129.645
510	1257.85	148.424
511	1257.15	137.855
512	1221.59	150.83
513	1497.21	158.333
514	1485.58	132.048
515	1483.15	112.895
516	1431.84	104.315
517	1450.17	102.708
518	1443.3	117.853
519	1468.36	120.895
520	1429.39	111.447
521	1446.34	93.96729999999999
522	1442.65	105.24
523	1436.35	101.792
524	1442.15	114.64
525	1447.29	113.279
526	1450.72	123.882
527	1441.22	124.403
528	1387.52	103.69
529	1427.08	91.3869
530	1438.53	113.657
531	1413.8	94.619
532	1437.85	121.612
533	1438.84	105.245
534	1423.08	81.1187
535	1411.12	121.809
536	1399.14	116.119
537	1458.66	152.6
538	1431.73	118.237
539	1417.68	105.722
540	1421.45	119.192
541	1415.56	110.026
542	1388.38	95.02679999999999
543	1434.83	136.107
544	1350.69	136.762
545	1412.74	122.097
546	1433.19	115.366
547	1449.03	130.368
548	1394.56	107.942
549	1408.12	105.938
550	1398.52	118.639
551	1408.01	118.235
552	1349.62	116.768
553	1387.41	108.273
554	1404.72	121.506
555	1419.43	121.905
556	1393.62	130.638
557	1402.41	121.529
558	1405.81	139.877
559	1408.67	133.036
560	1364.63	111.893
561	1379.74	95.8318
562	1396.61	137.749
563	1389.27	111.968
564	1381.58	115.842
565	1400.21	136.427
566	1390.78	135.182
567	1384.54	130.532
568	1327.68	76.96559999999999
569	1350.03	100.116
570	1361.96	131.885
571	1375.97	112.601
572	1369.52	124.117
573	1383.48	100.921
574	1369.14	128.931
575	1390.35	127.677
576	1298.32	133.124
577	1377.79	144.625
578	1379.21	111.542
579	1384.34	99.63890000000001
580	1376.52	116.55
581	626.471	406.955
582	433.297	7.90538
583	492.162	70.27800000000001
584	592.933	26.2273
585	629.097	24.8388
586	840.004	353.883
587	1364.94	126.153
588	1391.54	136.095
589	1364.62	100.783
590	1375.31	151.913
591	1347.84	125.734
592	1325.7	153.095
593	1376.06	142.798
594	1373.59	141.803
595	1342.16	104.741
596	1385.57	161.578
597	1364.77	142.406
598	1376.01	143.567
599	1355.6	112.628
600	1339.83	141.011
601	1375.69	101.218
602	1365.04	152.346
603	1339.48	128.096
604	1350.61	127.808
605	1334.8	94.5527
606	1332.95	111.963
607	1357.99	116.981
608	1270.03	132.363
609	1337.5	115.324
610	1328.09	102.227
611	1346.42	131.446
612	1307.6	140.341
613	1320.64	114.388
614	1306.1	98.6144
615	1324.37	125.275
616	1293.3	112.261
617	1340.37	130.016
618	1319.11	128.101
619	1305.29	98.5531
620	1339.02	115.052
621	1355.06	116.791
622	1346.05	134.804
623	1317.71	93.896
624	1299.39	123.734
625	1332.98	114.194
626	1337.4	135.507
627	1354.17	127.036
628	1332.35	130.299
629	1341.24	110.96
630	1299.13	117.757
631	1343.7	140.799
632	1313.6	150.442
633	1304.1	123.982
634	1310.75	131.4
635	1299.19	117.351
636	1327.59	140.895
637	1330.39	133.003
638	1309.53	129.063
